temporada,nombre_inc,rol,nompredrea,USO_TIERRA,USO,SUBUSO,ESTRUCTURA,COBERTURA,ALTURA,TIPO_FORES,SUBTIPOFOR,NOM_REG,NOM_PROV,NOM_COM,SOLICITUD,ESTAD_SOL,ANO,NOM_PREDIO,ROL_AVAL,LONG,LAT
2016-2017,TUTUVEN,436-5,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Cauquenes,Cauquenes,NORMA DE MANEJO PINO INSIGNE,APROBADA,2017,HIJUELA NRO 3. TUTUVEN,436-5,-72.3750,-35.9086
2016-2017,VILLA FLORA,427-39,VILLA FLORA,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Cauquenes,Cauquenes,PLAN DE MANEJO PLANTACIONES FORESTALES,REGISTRADA,2017,VILLA FLORA (HIJUELA 2 FUNDO VALDIVIA),427-39,-72.3177,-36.0303
2016-2017,LOMAS DE MACHICURA,528-19,STA JUANA,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,< 2,Esclerofilo,Peumo-Quillay-Litre,Region del Maule,Linares,Parral,PLAN DE MANEJO PLANTACIONES FORESTALES,REGISTRADA,2017,SANTA JUANA,528-19,-71.6060,-36.2303
2016-2017,TOTORILLA,166-33,TOTORILLA PARTE,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Curico,Vichuquen,NORMA DE MANEJO PINO INSIGNE,APROBADA,2017,LA VEGA,166-33,-71.9739,-34.8019
2016-2017,TOTORILLA,166-33,TOTORILLA PARTE,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Curico,Vichuquen,NORMA DE MANEJO PINO INSIGNE,APROBADA,2017,LA VEGA,166-33,-71.9942,-34.8422
2016-2017,EL PERAL,511-8,EL PERAL,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Talca,Constitucion,PLAN DE MANEJO PLANTACIONES FORESTALES,APROBADA,2017,EL PERAL,511-8,-72.4317,-35.3675
2016-2017,EL LLANO PART.,257-10,PREDIO EL LLANO COMNA SAN JAVIER,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Linares,San Javier,PLAN DE MANEJO PLANTACIONES FORESTALES,APROBADA,2017,PURAPEL,257-10,-71.9964,-35.6506
2016-2017,VILLABORO,266-15,SAN VICENTE HUERTA DE MAULE,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,< 2,Esclerofilo,Espino,Region del Maule,Linares,San Javier,NORMA DE MANEJO PINO INSIGNE,APROBADA,2017,EL CARMIN,266-15,-71.9550,-35.6983
2016-2017,PLACILLA// BOSQUES DE IDAHUE,160-300,HJ B LA HIGUERA PLACILLA,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Curico,Licantue,NORMA DE MANEJO PINO INSIGNE,REGISTRADA,2017,INMUEBLE UBICADO EN PLACILLA S/N,160-300,-71.9281,-34.9891
2016-2017,LOS QUILLAYES Y LA PINA,114-56,LOS MOLINOS,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Talca,Pencahue,NORMA DE MANEJO EUCALIPTUS,REGISTRADA,2017,LOS MOLINOS,114-56,-71.9956,-35.3431
2016-2017,LOS MOLINOS,114-56,LOS MOLINOS,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Talca,Pencahue,NORMA DE MANEJO EUCALIPTUS,REGISTRADA,2017,LOS MOLINOS,114-56,-71.9955,-35.3404
2016-2017,QUERI,169-1,VILLA ECHA Q DE MAULE,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,< 2,Esclerofilo,Peumo-Quillay-Litre,Region del Maule,Linares,Yerbas Buenas,PLAN DE MANEJO FORESTAL PARA PEQUENAS SUPERFICIES,APROBADA,2017,RESTO DEL FUNDO LAS GARZAS,169-1,-71.4704,-35.6100
2016-2017,LOS YUYOS,87-84,EL ASTILLERO HJ B,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Talca,Pelarco,PLAN DE MANEJO DE CORRECCION - D.L. N 701,APROBADA,2017,ASTILLERO ALTO,87-84,-71.1994,-35.3731
2016-2017,AGUA FRIA (AMENAZA),641-16,FUNDO LAS TRANCAS,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Curico,Molina,NORMA DE MANEJO PINO INSIGNE,REGISTRADA,2017,LAS TRANCAS,641-16,-71.0851,-35.3253
2016-2017,AGUA FRIA (PROPIO),643-1,AGUA FRIA,Bosque Nativo Renoval Denso,Bosques,Bosque Nativo,Renoval,Denso,8 - 12,Roble-Raul?â?¡-Coihue,Roble-Raul?â?¡-Coihue,Region del Maule,Curico,Molina,PLAN DE MANEJO PLANTACIONES FORESTALES,REGISTRADA,2017,HACIENDA AGUA FRIA LOTE 2,643-1,-71.0509,-35.3743
2016-2017,AGUA FRIA (PROPIO),643-1,AGUA FRIA,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Curico,Molina,PLAN DE MANEJO PLANTACIONES FORESTALES,REGISTRADA,2017,HACIENDA AGUA FRIA LOTE 2,643-1,-71.1128,-35.3592
2016-2017,AGUA FRIA (DENTRO),643-1,AGUA FRIA,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Curico,Molina,PLAN DE MANEJO PLANTACIONES FORESTALES,REGISTRADA,2017,HACIENDA AGUA FRIA LOTE 2,643-1,-71.0869,-35.3627
2016-2017,LOS MAITENES,27-185,PARC 34 -AB PROY PARCELACION MAITENES,Matorral Semidenso,Praderas y Matorrales,Matorral,No Aplica,Semidenso,,,,Region del Maule,Talca,R?â?¡o Claro,NORMA DE MANEJO PINO INSIGNE,REGISTRADA,2017,PARCELA 34 B P.P. UNION MAITENES,27-185,-71.1179,-35.3154
2016-2017,EL CULENAR,131-22,EL CULENAR,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,< 2,Esclerofilo,Esclerofilo,Region del Maule,Curico,Sagrada Familia,PLAN DE MANEJO PLANTACIONES FORESTALES,REGISTRADA,2017,CERRO ALTO (LOTE 3),131-22,-71.5258,-35.2059
2016-2017,SAN VALERIANO,153-26,SAN MAURICIO,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,San Clemente,NORMA DE MANEJO EUCALIPTUS,REGISTRADA,2017,LAS QUISCAS,153-26,-71.5066,-35.5557
2016-2017,LA PONDEROSA,8-73,HIJUELA QUINTA HACIENDA COLBUN,Bosque Nativo-Plantacion Semidenso,Bosques,Bosque Mixto,Nativo-Plantacion,Semidenso,,,,Region del Maule,Linares,Colbun,NORMA DE MANEJO PINO INSIGNE,APROBADA,2017,LA PONDEROSA,8-73,-71.3564,-35.7068
2016-2017,TOMENELO,494-108,TOMENELO,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Cauquenes,Cauquenes,NORMA DE MANEJO EUCALIPTUS,REGISTRADA,2017,HIJUELA NRO 3 DEL FUNDO TOMENELO,494-108,-72.1791,-36.0299
2016-2017,LAS MARGARITAS,244-59,VILLA CRISTINA,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Cauquenes,Chanco,PLAN DE MANEJO PLANTACIONES FORESTALES,REGISTRADA,2017,PUQUILIRQUE (LOTES B-1 Y B-2),244-59,-72.5187,-35.7651
